Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
287.00	1.0000	3.5666	0.28038	121.13	149.54	1.1173	0.14906	0.24933	217.74	1.5684	2.4288e-05	0.0090381	vapor
288.00	1.0000	3.5541	0.28136	121.28	149.79	1.1182	0.14905	0.24932	218.12	1.5593	2.4365e-05	0.0090666	vapor
289.00	1.0000	3.5417	0.28235	121.43	150.03	1.1190	0.14905	0.24930	218.50	1.5502	2.4441e-05	0.0090951	vapor
290.00	1.0000	3.5294	0.28333	121.58	150.28	1.1199	0.14905	0.24929	218.88	1.5412	2.4517e-05	0.0091235	vapor
291.00	1.0000	3.5172	0.28432	121.72	150.53	1.1208	0.14905	0.24928	219.26	1.5323	2.4593e-05	0.0091520	vapor
292.00	1.0000	3.5051	0.28530	121.87	150.78	1.1216	0.14904	0.24927	219.64	1.5235	2.4669e-05	0.0091803	vapor
293.00	1.0000	3.4930	0.28628	122.02	151.03	1.1225	0.14904	0.24926	220.02	1.5148	2.4745e-05	0.0092086	vapor
294.00	1.0000	3.4811	0.28727	122.17	151.28	1.1233	0.14904	0.24925	220.39	1.5061	2.4820e-05	0.0092369	vapor
295.00	1.0000	3.4692	0.28825	122.32	151.53	1.1242	0.14903	0.24924	220.77	1.4975	2.4896e-05	0.0092652	vapor
296.00	1.0000	3.4574	0.28924	122.47	151.78	1.1250	0.14903	0.24923	221.15	1.4890	2.4972e-05	0.0092934	vapor
297.00	1.0000	3.4457	0.29022	122.62	152.03	1.1259	0.14903	0.24922	221.52	1.4806	2.5047e-05	0.0093215	vapor
298.00	1.0000	3.4340	0.29120	122.77	152.28	1.1267	0.14903	0.24921	221.90	1.4722	2.5122e-05	0.0093497	vapor
299.00	1.0000	3.4225	0.29219	122.92	152.53	1.1275	0.14902	0.24920	222.27	1.4639	2.5198e-05	0.0093777	vapor
300.00	1.0000	3.4110	0.29317	123.07	152.78	1.1284	0.14902	0.24919	222.65	1.4557	2.5273e-05	0.0094058	vapor
301.00	1.0000	3.3996	0.29416	123.22	153.03	1.1292	0.14902	0.24918	223.02	1.4475	2.5348e-05	0.0094338	vapor
302.00	1.0000	3.3882	0.29514	123.37	153.27	1.1300	0.14902	0.24917	223.39	1.4395	2.5423e-05	0.0094617	vapor
303.00	1.0000	3.3770	0.29612	123.52	153.52	1.1308	0.14902	0.24916	223.76	1.4315	2.5497e-05	0.0094897	vapor
304.00	1.0000	3.3658	0.29711	123.67	153.77	1.1317	0.14901	0.24915	224.13	1.4235	2.5572e-05	0.0095175	vapor
305.00	1.0000	3.3547	0.29809	123.82	154.02	1.1325	0.14901	0.24914	224.50	1.4157	2.5647e-05	0.0095454	vapor
306.00	1.0000	3.3436	0.29907	123.97	154.27	1.1333	0.14901	0.24913	224.87	1.4079	2.5721e-05	0.0095732	vapor
307.00	1.0000	3.3327	0.30006	124.12	154.52	1.1341	0.14901	0.24912	225.24	1.4001	2.5796e-05	0.0096010	vapor
308.00	1.0000	3.3218	0.30104	124.27	154.77	1.1349	0.14901	0.24911	225.61	1.3924	2.5870e-05	0.0096287	vapor
309.00	1.0000	3.3110	0.30203	124.42	155.02	1.1357	0.14900	0.24910	225.98	1.3848	2.5944e-05	0.0096564	vapor
310.00	1.0000	3.3002	0.30301	124.57	155.27	1.1365	0.14900	0.24909	226.35	1.3773	2.6018e-05	0.0096840	vapor
311.00	1.0000	3.2896	0.30399	124.71	155.52	1.1373	0.14900	0.24908	226.71	1.3698	2.6092e-05	0.0097116	vapor
312.00	1.0000	3.2789	0.30498	124.86	155.77	1.1381	0.14900	0.24908	227.08	1.3624	2.6166e-05	0.0097392	vapor
313.00	1.0000	3.2684	0.30596	125.01	156.01	1.1389	0.14900	0.24907	227.45	1.3550	2.6240e-05	0.0097667	vapor
314.00	1.0000	3.2579	0.30694	125.16	156.26	1.1397	0.14899	0.24906	227.81	1.3477	2.6314e-05	0.0097942	vapor
315.00	1.0000	3.2475	0.30793	125.31	156.51	1.1405	0.14899	0.24905	228.18	1.3405	2.6387e-05	0.0098217	vapor
316.00	1.0000	3.2372	0.30891	125.46	156.76	1.1413	0.14899	0.24904	228.54	1.3333	2.6461e-05	0.0098491	vapor
317.00	1.0000	3.2269	0.30989	125.61	157.01	1.1421	0.14899	0.24903	228.90	1.3262	2.6534e-05	0.0098765	vapor
318.00	1.0000	3.2167	0.31088	125.76	157.26	1.1429	0.14899	0.24903	229.27	1.3191	2.6608e-05	0.0099038	vapor
319.00	1.0000	3.2066	0.31186	125.91	157.51	1.1437	0.14899	0.24902	229.63	1.3121	2.6681e-05	0.0099311	vapor
320.00	1.0000	3.1965	0.31284	126.06	157.76	1.1444	0.14898	0.24901	229.99	1.3052	2.6754e-05	0.0099584	vapor
321.00	1.0000	3.1865	0.31383	126.21	158.01	1.1452	0.14898	0.24900	230.35	1.2983	2.6827e-05	0.0099856	vapor
322.00	1.0000	3.1765	0.31481	126.36	158.26	1.1460	0.14898	0.24900	230.71	1.2914	2.6900e-05	0.010013	vapor
323.00	1.0000	3.1666	0.31579	126.51	158.50	1.1468	0.14898	0.24899	231.07	1.2846	2.6973e-05	0.010040	vapor
324.00	1.0000	3.1568	0.31678	126.66	158.75	1.1475	0.14898	0.24898	231.43	1.2779	2.7046e-05	0.010067	vapor
325.00	1.0000	3.1470	0.31776	126.81	159.00	1.1483	0.14898	0.24897	231.79	1.2712	2.7118e-05	0.010094	vapor
326.00	1.0000	3.1373	0.31874	126.96	159.25	1.1491	0.14897	0.24897	232.15	1.2646	2.7191e-05	0.010121	vapor
327.00	1.0000	3.1277	0.31972	127.10	159.50	1.1498	0.14897	0.24896	232.50	1.2580	2.7263e-05	0.010148	vapor
328.00	1.0000	3.1181	0.32071	127.25	159.75	1.1506	0.14897	0.24895	232.86	1.2515	2.7336e-05	0.010175	vapor
329.00	1.0000	3.1086	0.32169	127.40	160.00	1.1513	0.14897	0.24895	233.22	1.2450	2.7408e-05	0.010202	vapor
330.00	1.0000	3.0991	0.32267	127.55	160.25	1.1521	0.14897	0.24894	233.57	1.2385	2.7480e-05	0.010229	vapor
331.00	1.0000	3.0897	0.32366	127.70	160.50	1.1529	0.14897	0.24893	233.93	1.2322	2.7552e-05	0.010256	vapor
332.00	1.0000	3.0803	0.32464	127.85	160.75	1.1536	0.14897	0.24893	234.28	1.2258	2.7624e-05	0.010283	vapor
333.00	1.0000	3.0710	0.32562	128.00	160.99	1.1544	0.14896	0.24892	234.64	1.2195	2.7696e-05	0.010310	vapor
334.00	1.0000	3.0618	0.32660	128.15	161.24	1.1551	0.14896	0.24891	234.99	1.2133	2.7768e-05	0.010336	vapor
335.00	1.0000	3.0526	0.32759	128.30	161.49	1.1558	0.14896	0.24891	235.34	1.2071	2.7839e-05	0.010363	vapor
336.00	1.0000	3.0435	0.32857	128.45	161.74	1.1566	0.14896	0.24890	235.70	1.2010	2.7911e-05	0.010390	vapor
337.00	1.0000	3.0344	0.32955	128.60	161.99	1.1573	0.14896	0.24889	236.05	1.1949	2.7983e-05	0.010416	vapor
338.00	1.0000	3.0254	0.33054	128.75	162.24	1.1581	0.14896	0.24889	236.40	1.1888	2.8054e-05	0.010443	vapor
339.00	1.0000	3.0164	0.33152	128.90	162.49	1.1588	0.14896	0.24888	236.75	1.1828	2.8125e-05	0.010470	vapor
340.00	1.0000	3.0075	0.33250	129.05	162.74	1.1595	0.14896	0.24887	237.10	1.1768	2.8197e-05	0.010496	vapor
