Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
218.00	1.0000	2.2381	0.44681	67.810	113.08	3.7094	0.31268	0.52301	274.88	1.1665	1.7230e-05	0.013464	vapor
219.00	1.0000	2.2278	0.44888	68.124	113.61	3.7118	0.31267	0.52298	275.52	1.1573	1.7300e-05	0.013519	vapor
220.00	1.0000	2.2176	0.45094	68.438	114.13	3.7142	0.31266	0.52295	276.15	1.1483	1.7370e-05	0.013574	vapor
221.00	1.0000	2.2075	0.45301	68.751	114.65	3.7166	0.31266	0.52292	276.78	1.1394	1.7440e-05	0.013628	vapor
222.00	1.0000	2.1975	0.45507	69.065	115.18	3.7190	0.31265	0.52289	277.41	1.1305	1.7510e-05	0.013683	vapor
223.00	1.0000	2.1875	0.45714	69.379	115.70	3.7213	0.31264	0.52286	278.04	1.1218	1.7580e-05	0.013737	vapor
224.00	1.0000	2.1777	0.45920	69.693	116.22	3.7236	0.31264	0.52283	278.67	1.1132	1.7649e-05	0.013792	vapor
225.00	1.0000	2.1680	0.46126	70.006	116.74	3.7260	0.31263	0.52280	279.29	1.1047	1.7719e-05	0.013846	vapor
226.00	1.0000	2.1583	0.46333	70.320	117.27	3.7283	0.31263	0.52277	279.91	1.0963	1.7788e-05	0.013900	vapor
227.00	1.0000	2.1487	0.46539	70.633	117.79	3.7306	0.31262	0.52275	280.54	1.0879	1.7857e-05	0.013954	vapor
228.00	1.0000	2.1392	0.46746	70.947	118.31	3.7329	0.31261	0.52272	281.16	1.0797	1.7927e-05	0.014008	vapor
229.00	1.0000	2.1298	0.46952	71.261	118.83	3.7352	0.31261	0.52269	281.78	1.0715	1.7996e-05	0.014062	vapor
230.00	1.0000	2.1205	0.47158	71.574	119.36	3.7375	0.31260	0.52267	282.39	1.0635	1.8065e-05	0.014116	vapor
231.00	1.0000	2.1113	0.47365	71.888	119.88	3.7397	0.31260	0.52264	283.01	1.0555	1.8134e-05	0.014170	vapor
232.00	1.0000	2.1021	0.47571	72.201	120.40	3.7420	0.31259	0.52262	283.63	1.0476	1.8202e-05	0.014223	vapor
233.00	1.0000	2.0930	0.47777	72.515	120.93	3.7442	0.31259	0.52259	284.24	1.0398	1.8271e-05	0.014277	vapor
234.00	1.0000	2.0840	0.47984	72.828	121.45	3.7465	0.31258	0.52257	284.85	1.0321	1.8340e-05	0.014331	vapor
235.00	1.0000	2.0751	0.48190	73.142	121.97	3.7487	0.31258	0.52254	285.46	1.0245	1.8408e-05	0.014384	vapor
236.00	1.0000	2.0663	0.48396	73.455	122.49	3.7509	0.31257	0.52252	286.07	1.0169	1.8477e-05	0.014438	vapor
237.00	1.0000	2.0575	0.48603	73.769	123.02	3.7531	0.31257	0.52249	286.68	1.0095	1.8545e-05	0.014491	vapor
238.00	1.0000	2.0488	0.48809	74.082	123.54	3.7553	0.31256	0.52247	287.29	1.0021	1.8613e-05	0.014544	vapor
239.00	1.0000	2.0402	0.49015	74.396	124.06	3.7575	0.31256	0.52245	287.90	0.99476	1.8682e-05	0.014597	vapor
240.00	1.0000	2.0316	0.49221	74.709	124.58	3.7597	0.31255	0.52243	288.50	0.98752	1.8750e-05	0.014651	vapor
241.00	1.0000	2.0232	0.49428	75.023	125.11	3.7619	0.31255	0.52241	289.10	0.98036	1.8818e-05	0.014704	vapor
242.00	1.0000	2.0147	0.49634	75.336	125.63	3.7640	0.31255	0.52238	289.70	0.97328	1.8886e-05	0.014757	vapor
243.00	1.0000	2.0064	0.49840	75.649	126.15	3.7662	0.31254	0.52236	290.31	0.96626	1.8953e-05	0.014810	vapor
244.00	1.0000	1.9981	0.50046	75.963	126.67	3.7683	0.31254	0.52234	290.91	0.95932	1.9021e-05	0.014862	vapor
245.00	1.0000	1.9899	0.50253	76.276	127.19	3.7705	0.31253	0.52232	291.50	0.95245	1.9089e-05	0.014915	vapor
246.00	1.0000	1.9818	0.50459	76.590	127.72	3.7726	0.31253	0.52230	292.10	0.94565	1.9156e-05	0.014968	vapor
247.00	1.0000	1.9737	0.50665	76.903	128.24	3.7747	0.31252	0.52228	292.70	0.93892	1.9224e-05	0.015021	vapor
248.00	1.0000	1.9657	0.50871	77.216	128.76	3.7768	0.31252	0.52226	293.29	0.93226	1.9291e-05	0.015073	vapor
249.00	1.0000	1.9578	0.51078	77.530	129.28	3.7789	0.31252	0.52224	293.88	0.92566	1.9358e-05	0.015126	vapor
250.00	1.0000	1.9499	0.51284	77.843	129.81	3.7810	0.31251	0.52222	294.48	0.91913	1.9426e-05	0.015178	vapor
251.00	1.0000	1.9421	0.51490	78.156	130.33	3.7831	0.31251	0.52220	295.07	0.91267	1.9493e-05	0.015230	vapor
252.00	1.0000	1.9344	0.51696	78.469	130.85	3.7852	0.31251	0.52219	295.66	0.90627	1.9560e-05	0.015283	vapor
253.00	1.0000	1.9267	0.51902	78.783	131.37	3.7873	0.31250	0.52217	296.24	0.89993	1.9627e-05	0.015335	vapor
254.00	1.0000	1.9191	0.52108	79.096	131.89	3.7893	0.31250	0.52215	296.83	0.89365	1.9693e-05	0.015387	vapor
255.00	1.0000	1.9115	0.52315	79.409	132.42	3.7914	0.31250	0.52213	297.42	0.88744	1.9760e-05	0.015439	vapor
256.00	1.0000	1.9040	0.52521	79.722	132.94	3.7934	0.31249	0.52211	298.00	0.88128	1.9827e-05	0.015491	vapor
257.00	1.0000	1.8966	0.52727	80.036	133.46	3.7954	0.31249	0.52210	298.59	0.87519	1.9893e-05	0.015543	vapor
258.00	1.0000	1.8892	0.52933	80.349	133.98	3.7975	0.31249	0.52208	299.17	0.86915	1.9960e-05	0.015595	vapor
259.00	1.0000	1.8819	0.53139	80.662	134.51	3.7995	0.31248	0.52206	299.75	0.86317	2.0026e-05	0.015647	vapor
260.00	1.0000	1.8746	0.53345	80.975	135.03	3.8015	0.31248	0.52205	300.33	0.85725	2.0092e-05	0.015698	vapor
261.00	1.0000	1.8674	0.53551	81.289	135.55	3.8035	0.31248	0.52203	300.91	0.85139	2.0159e-05	0.015750	vapor
262.00	1.0000	1.8602	0.53757	81.602	136.07	3.8055	0.31247	0.52201	301.49	0.84558	2.0225e-05	0.015802	vapor
263.00	1.0000	1.8531	0.53964	81.915	136.59	3.8075	0.31247	0.52200	302.06	0.83982	2.0291e-05	0.015853	vapor
264.00	1.0000	1.8461	0.54170	82.228	137.12	3.8095	0.31247	0.52198	302.64	0.83412	2.0357e-05	0.015905	vapor
265.00	1.0000	1.8391	0.54376	82.541	137.64	3.8114	0.31246	0.52197	303.21	0.82847	2.0423e-05	0.015956	vapor
266.00	1.0000	1.8321	0.54582	82.854	138.16	3.8134	0.31246	0.52195	303.79	0.82287	2.0488e-05	0.016007	vapor
267.00	1.0000	1.8252	0.54788	83.167	138.68	3.8154	0.31246	0.52194	304.36	0.81733	2.0554e-05	0.016059	vapor
268.00	1.0000	1.8184	0.54994	83.481	139.20	3.8173	0.31246	0.52192	304.93	0.81184	2.0620e-05	0.016110	vapor
269.00	1.0000	1.8116	0.55200	83.794	139.73	3.8193	0.31245	0.52191	305.50	0.80639	2.0685e-05	0.016161	vapor
270.00	1.0000	1.8049	0.55406	84.107	140.25	3.8212	0.31245	0.52189	306.07	0.80100	2.0751e-05	0.016212	vapor
271.00	1.0000	1.7982	0.55612	84.420	140.77	3.8231	0.31245	0.52188	306.64	0.79565	2.0816e-05	0.016263	vapor
272.00	1.0000	1.7915	0.55818	84.733	141.29	3.8251	0.31244	0.52186	307.21	0.79036	2.0881e-05	0.016314	vapor
273.00	1.0000	1.7849	0.56024	85.046	141.81	3.8270	0.31244	0.52185	307.77	0.78511	2.0947e-05	0.016365	vapor
274.00	1.0000	1.7784	0.56230	85.359	142.33	3.8289	0.31244	0.52184	308.34	0.77991	2.1012e-05	0.016416	vapor
275.00	1.0000	1.7719	0.56436	85.672	142.86	3.8308	0.31244	0.52182	308.90	0.77475	2.1077e-05	0.016466	vapor
276.00	1.0000	1.7655	0.56642	85.985	143.38	3.8327	0.31243	0.52181	309.46	0.76964	2.1142e-05	0.016517	vapor
277.00	1.0000	1.7591	0.56848	86.298	143.90	3.8346	0.31243	0.52180	310.03	0.76458	2.1206e-05	0.016568	vapor
278.00	1.0000	1.7527	0.57054	86.611	144.42	3.8364	0.31243	0.52178	310.59	0.75956	2.1271e-05	0.016618	vapor
279.00	1.0000	1.7464	0.57260	86.924	144.94	3.8383	0.31243	0.52177	311.15	0.75459	2.1336e-05	0.016669	vapor
280.00	1.0000	1.7401	0.57466	87.238	145.47	3.8402	0.31243	0.52176	311.70	0.74965	2.1401e-05	0.016719	vapor
281.00	1.0000	1.7339	0.57672	87.551	145.99	3.8420	0.31242	0.52175	312.26	0.74476	2.1465e-05	0.016770	vapor
282.00	1.0000	1.7278	0.57878	87.864	146.51	3.8439	0.31242	0.52173	312.82	0.73992	2.1530e-05	0.016820	vapor
283.00	1.0000	1.7216	0.58084	88.177	147.03	3.8457	0.31242	0.52172	313.37	0.73511	2.1594e-05	0.016870	vapor
284.00	1.0000	1.7155	0.58290	88.490	147.55	3.8476	0.31242	0.52171	313.93	0.73035	2.1658e-05	0.016920	vapor
285.00	1.0000	1.7095	0.58496	88.803	148.07	3.8494	0.31241	0.52170	314.48	0.72563	2.1722e-05	0.016970	vapor
286.00	1.0000	1.7035	0.58702	89.116	148.60	3.8512	0.31241	0.52169	315.04	0.72094	2.1787e-05	0.017020	vapor
287.00	1.0000	1.6976	0.58908	89.429	149.12	3.8531	0.31241	0.52168	315.59	0.71630	2.1851e-05	0.017070	vapor
288.00	1.0000	1.6916	0.59114	89.741	149.64	3.8549	0.31241	0.52166	316.14	0.71170	2.1915e-05	0.017120	vapor
289.00	1.0000	1.6858	0.59320	90.054	150.16	3.8567	0.31241	0.52165	316.69	0.70713	2.1978e-05	0.017170	vapor
290.00	1.0000	1.6799	0.59526	90.367	150.68	3.8585	0.31240	0.52164	317.24	0.70261	2.2042e-05	0.017220	vapor
291.00	1.0000	1.6741	0.59732	90.680	151.20	3.8603	0.31240	0.52163	317.78	0.69812	2.2106e-05	0.017270	vapor
292.00	1.0000	1.6684	0.59938	90.993	151.73	3.8621	0.31240	0.52162	318.33	0.69367	2.2170e-05	0.017319	vapor
